20250710133041,960  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:428,  orderSysID:,  trtradedVolume:0,  totalVolume:6,  frozeMargin:0,  frozenCommission:48,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250710,  insertTime:133041,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133041,988  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:428,  orderSysID:    71178230,  trtradedVolume:0,  totalVolume:6,  frozeMargin:0,  frozenCommission:48,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250710,  insertTime:133042,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133041,989  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:428,  orderSysID:    71178230,  trtradedVolume:0,  totalVolume:6,  frozeMargin:0,  frozenCommission:48,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250710,  insertTime:133042,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133441,686  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:428,  orderSysID:    71178230,  trtradedVolume:0,  totalVolume:6,  frozeMargin:0,  frozenCommission:0,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:已撤单,  inserDate:20250710,  insertTime:133042,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:54,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133441,686  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:428,  orderSysID:    71178230,  trtradedVolume:0,  totalVolume:6,  frozeMargin:0,  frozenCommission:0,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:已撤单,  inserDate:20250710,  insertTime:133042,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:54,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133441,717  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:408,  orderSysID:,  trtradedVolume:0,  totalVolume:6,  frozeMargin:0,  frozenCommission:48,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250710,  insertTime:133441,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133441,719  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:408,  orderSysID:,  trtradedVolume:0,  totalVolume:6,  frozeMargin:0,  frozenCommission:48,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250710,  insertTime:133441,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133441,787  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:408,  orderSysID:    71424180,  trtradedVolume:0,  totalVolume:6,  frozeMargin:0,  frozenCommission:48,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250710,  insertTime:133441,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133441,788  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:408,  orderSysID:    71424180,  trtradedVolume:0,  totalVolume:6,  frozeMargin:0,  frozenCommission:48,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250710,  insertTime:133441,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133504,203  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:408,  orderSysID:    71424180,  trtradedVolume:0,  totalVolume:6,  frozeMargin:0,  frozenCommission:0,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:已撤单,  inserDate:20250710,  insertTime:133441,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:54,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133504,203  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:408,  orderSysID:    71424180,  trtradedVolume:0,  totalVolume:6,  frozeMargin:0,  frozenCommission:0,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:已撤单,  inserDate:20250710,  insertTime:133441,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:54,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133504,237  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:405,  orderSysID:,  trtradedVolume:0,  totalVolume:6,  frozeMargin:0,  frozenCommission:48,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250710,  insertTime:133504,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133504,258  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:405,  orderSysID:,  trtradedVolume:0,  totalVolume:6,  frozeMargin:0,  frozenCommission:48,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250710,  insertTime:133504,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133504,299  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:405,  orderSysID:    71450377,  trtradedVolume:0,  totalVolume:6,  frozeMargin:0,  frozenCommission:48,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250710,  insertTime:133504,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133504,299  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:405,  orderSysID:    71450377,  trtradedVolume:0,  totalVolume:6,  frozeMargin:0,  frozenCommission:48,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250710,  insertTime:133504,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133533,705  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-35500,  limitPrice:335,  orderSysID:,  trtradedVolume:0,  totalVolume:5,  frozeMargin:0,  frozenCommission:40,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250710,  insertTime:133533,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P35500,  accountKey:1____20001____0193_2034____-1____709981____
20250710133533,755  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-35500,  limitPrice:335,  orderSysID:    71479232,  trtradedVolume:0,  totalVolume:5,  frozeMargin:0,  frozenCommission:40,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250710,  insertTime:133533,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P35500,  accountKey:1____20001____0193_2034____-1____709981____
20250710133535,424  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:405,  orderSysID:    71450377,  trtradedVolume:6,  totalVolume:6,  frozeMargin:0,  frozenCommission:0,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:全部成交,  inserDate:20250710,  insertTime:133504,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:56,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133535,424  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  limitPrice:405,  orderSysID:    71450377,  trtradedVolume:6,  totalVolume:6,  frozeMargin:0,  frozenCommission:0,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:全部成交,  inserDate:20250710,  insertTime:133504,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:56,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133535,426  onRtnDealDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  tradeID:    61356902,  orderSysID:    71450377,  averagePrice:405,  volume:6,  tradeDate:20250710,  tradeTime:133535,  comssion:48,  amount:7290,  ,  orderID:2147483647,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderPriceType:50,  entrustType:48,  coveredFlag:48,  remark:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133535,427  onRtnDealDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-36000,  tradeID:    61356902,  orderSysID:    71450377,  averagePrice:405,  volume:6,  tradeDate:20250710,  tradeTime:133535,  comssion:48,  amount:7290,  ,  orderID:2147483647,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderPriceType:50,  entrustType:48,  coveredFlag:48,  remark:,  instrumnetName:ps2509P36000,  accountKey:1____20001____0193_2034____-1____709981____
20250710133601,955  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-35500,  limitPrice:335,  orderSysID:    71479232,  trtradedVolume:5,  totalVolume:5,  frozeMargin:0,  frozenCommission:0,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:全部成交,  inserDate:20250710,  insertTime:133533,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:56,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P35500,  accountKey:1____20001____0193_2034____-1____709981____
20250710133601,955  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-35500,  limitPrice:335,  orderSysID:    71479232,  trtradedVolume:5,  totalVolume:5,  frozeMargin:0,  frozenCommission:0,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:全部成交,  inserDate:20250710,  insertTime:133533,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:56,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P35500,  accountKey:1____20001____0193_2034____-1____709981____
20250710133601,955  onRtnDealDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-35500,  tradeID:    61360123,  orderSysID:    71479232,  averagePrice:335,  volume:5,  tradeDate:20250710,  tradeTime:133602,  comssion:40,  amount:5025,  ,  orderID:2147483647,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderPriceType:50,  entrustType:48,  coveredFlag:48,  remark:,  instrumnetName:ps2509P35500,  accountKey:1____20001____0193_2034____-1____709981____
20250710133601,955  onRtnDealDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-35500,  tradeID:    61360123,  orderSysID:    71479232,  averagePrice:335,  volume:5,  tradeDate:20250710,  tradeTime:133602,  comssion:40,  amount:5025,  ,  orderID:2147483647,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderPriceType:50,  entrustType:48,  coveredFlag:48,  remark:,  instrumnetName:ps2509P35500,  accountKey:1____20001____0193_2034____-1____709981____
20250710134306,275  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-C-50000,  limitPrice:165,  orderSysID:,  trtradedVolume:0,  totalVolume:5,  frozeMargin:0,  frozenCommission:40,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250710,  insertTime:134306,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509C50000,  accountKey:1____20001____0193_2034____-1____709981____
20250710134306,303  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-C-50000,  limitPrice:165,  orderSysID:    71919702,  trtradedVolume:0,  totalVolume:5,  frozeMargin:0,  frozenCommission:40,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250710,  insertTime:134306,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509C50000,  accountKey:1____20001____0193_2034____-1____709981____
20250710134333,180  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-C-50000,  limitPrice:165,  orderSysID:    71919702,  trtradedVolume:5,  totalVolume:5,  frozeMargin:0,  frozenCommission:0,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:全部成交,  inserDate:20250710,  insertTime:134306,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:56,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509C50000,  accountKey:1____20001____0193_2034____-1____709981____
20250710134333,180  onRtnDealDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-C-50000,  tradeID:    61410186,  orderSysID:    71919702,  averagePrice:165,  volume:5,  tradeDate:20250710,  tradeTime:134333,  comssion:40,  amount:2475,  ,  orderID:2147483647,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderPriceType:50,  entrustType:48,  coveredFlag:48,  remark:,  instrumnetName:ps2509C50000,  accountKey:1____20001____0193_2034____-1____709981____
20250710134453,490  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-35500,  limitPrice:322,  orderSysID:,  trtradedVolume:0,  totalVolume:5,  frozeMargin:0,  frozenCommission:40,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250710,  insertTime:134453,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P35500,  accountKey:1____20001____0193_2034____-1____709981____
20250710134453,519  onRtnOrderDetail  accountID:709981,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-35500,  limitPrice:322,  orderSysID:    71991562,  trtradedVolume:0,  totalVolume:5,  frozeMargin:0,  frozenCommission:40,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250710,  insertTime:134453,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P35500,  accountKey:1____20001____0193_2034____-1____709981____
