,账号,合约代码,总持仓,方向,保证金,期权均价,期权现价,期货代码,期货现价,到期时间
0,8000138,i2509-P-730.DF,5,SELL,42002.5,6.9,6.7,i2509.DF,764.0,20250818
1,8000138,ps2509-P-37000.GF,10,SELL,82413.0,483.0,509.0,ps2509.GF,41000.0,20250807
2,8000138,ps2509-C-47000.GF,5,SELL,24942.6,296.0,270.0,ps2509.GF,41000.0,20250807
3,8000138,ps2509-P-36000.GF,15,SELL,103299.75,327.0,362.0,ps2509.GF,41000.0,20250807
4,8000138,ps2509-C-50000.GF,5,SELL,28943.25,120.0,121.0,ps2509.GF,41000.0,20250807
5,8000138,ps2509-P-35500.GF,10,SELL,66016.5,278.0,287.0,ps2509.GF,41000.0,20250807
6,8000138,ps2509-C-49000.GF,10,SELL,58126.5,160.0,155.0,ps2509.GF,41000.0,20250807
7,8000138,i2509-P-710.DF,5,SELL,34152.5,4.8,3.8,i2509.DF,764.0,20250818
8,8000138,ps2509-C-46000.GF,15,SELL,98304.75,373.0,400.0,ps2509.GF,41000.0,20250807
9,8000138,ps2509.GF,5,SELL,54963.9,40714.0,41000.0,ps2509.GF,41000.0,
10,8000138,ps2509-C-49000.GF,8,SELL,47905.2,163.5,155.0,ps2509.GF,41000.0,20250807
11,8000138,i2509-P-720.DF,3,SELL,22741.5,5.4,4.6,i2509.DF,764.0,20250818
12,8000138,ps2509-P-35500.GF,1,SELL,0.0,306.0,287.0,ps2509.GF,41000.0,20250807
13,8000138,ps2509-P-38000.GF,7,SELL,74699.1,692.43,722.0,ps2509.GF,41000.0,20250807
14,8000138,ps2509-C-48000.GF,6,SELL,36189.9,224.33,202.0,ps2509.GF,41000.0,20250807
15,709981,jd2509-P-3450.DF,18,SELL,42937.2,30.33,32.0,jd2509.DF,3580.0,20250818
16,709981,eb2508-P-7100.DF,3,SELL,5362.8,25.17,4.0,eb2508.DF,7416.0,20250716
17,709981,TA509C5100.ZF,1,SELL,1081.2,42.5,19.0,TA509C5100.ZF,19.0,20250813
18,709981,SM509P5300.ZF,4,SELL,5705.6,28.5,10.0,SM509P5300.ZF,10.0,20250813
19,709981,ps2509-P-37000.GF,11,SELL,90654.3,497.36,509.0,ps2509.GF,41000.0,20250807
20,709981,lh2509-P-13600.DF,1,SELL,13822.4,62.5,40.0,lh2509.DF,14345.0,20250818
21,709981,jd2509-P-3400.DF,21,SELL,41798.4,25.29,22.5,jd2509.DF,3580.0,20250818
22,709981,i2509-P-640.DF,5,SELL,20938.75,5.4,0.6,i2509.DF,764.0,20250818
23,709981,ps2509-C-47000.GF,9,SELL,12471.3,343.0,270.0,ps2509.GF,41000.0,20250807
24,709981,ao2509P2750.SF,3,SELL,11323.5,27.67,13.0,ao2509.SF,3117.0,20250825
25,709981,SH509P2320.ZF,2,SELL,7896.0,19.0,19.5,SH509P2320.ZF,19.5,20250813
26,709981,SH509P2280.ZF,5,SELL,17070.0,22.8,14.0,SH509P2280.ZF,14.0,20250813
27,709981,OI509P8800.ZF,2,SELL,10892.6,41.75,22.0,OI509P8800.ZF,22.0,20250813
28,709981,ps2509-P-35000.GF,24,SELL,0.0,331.88,242.0,ps2509.GF,41000.0,20250807
29,709981,ag2508P7800.SF,1,SELL,10728.9,70.5,4.5,ag2508.SF,9016.0,20250725
30,709981,jd2509-P-3550.DF,4,SELL,13141.6,35.0,71.5,jd2509.DF,3580.0,20250818
31,709981,jd2509-C-3900.DF,1,SELL,1420.2,40.0,17.0,jd2509.DF,3580.0,20250818
32,709981,lc2511-P-60000.GF,1,SELL,5626.0,1620.0,1180.0,lc2511.GF,63920.0,20251015
33,709981,jd2509-P-3500.DF,8,SELL,22563.2,45.56,48.0,jd2509.DF,3580.0,20250818
34,709981,lc2509-P-60000.GF,2,SELL,9432.0,320.0,310.0,lc2509.GF,64280.0,20250807
35,709981,i2509-P-660.DF,2,SELL,8415.5,4.5,0.8,i2509.DF,764.0,20250818
36,709981,ps2509-C-50000.GF,23,SELL,0.0,139.26,121.0,ps2509.GF,41000.0,20250807
37,709981,lc2511.GF,1,SELL,6416.0,62500.0,63920.0,lc2511.GF,63920.0,
38,709981,lc2509-P-57000.GF,2,SELL,6706.0,345.0,90.0,lc2509.GF,64280.0,20250807
39,709981,TA509C5300.ZF,3,SELL,3024.3,45.5,10.0,TA509C5300.ZF,10.0,20250813
40,709981,CF509P12400.ZF,6,SELL,15638.25,23.0,6.0,CF509P12400.ZF,6.0,20250813
41,709981,rb2510P2850.SF,8,SELL,9597.2,32.25,8.0,rb2510.SF,3133.0,20250924
42,709981,m2509-C-3050.DF,4,SELL,5250.3,29.25,22.5,m2509.DF,2976.0,20250818
43,709981,ps2509-P-34000.GF,33,SELL,119853.0,180.27,153.0,ps2509.GF,41000.0,20250807
44,709981,lh2509-P-13400.DF,1,SELL,11702.4,60.0,25.0,lh2509.DF,14345.0,20250818
45,709981,ps2509-C-46000.GF,7,SELL,0.0,422.0,400.0,ps2509.GF,41000.0,20250807
46,709981,rb2510P2900.SF,8,SELL,10954.4,32.25,10.5,rb2510.SF,3133.0,20250924
47,709981,eb2508-C-7600.DF,1,SELL,0.0,41.0,18.5,eb2508.DF,7416.0,20250716
48,709981,FG509P1000.ZF,10,SELL,17760.0,23.5,8.5,FG509P1000.ZF,8.5,20250813
49,709981,PK510C8700.ZF,2,SELL,4217.6,37.5,29.5,PK510C8700.ZF,29.5,20250911
50,709981,eb2508-P-7200.DF,1,SELL,0.0,44.5,9.5,eb2508.DF,7416.0,20250716
51,709981,ps2509-P-32000.GF,1,SELL,5647.65,445.0,74.0,ps2509.GF,41000.0,20250807
52,709981,jd2508-P-3400.DF,6,SELL,0.0,23.0,19.0,jd2508.DF,3442.0,20250716
53,709981,ag2508C9200.SF,1,SELL,17208.9,105.0,124.5,ag2508.SF,9016.0,20250725
54,709981,TA509C5200.ZF,2,SELL,2066.2,32.25,13.5,TA509C5200.ZF,13.5,20250813
55,709981,ps2509-P-36000.GF,7,SELL,48206.55,337.14,362.0,ps2509.GF,41000.0,20250807
56,709981,i2509-P-690.DF,1,SELL,5490.5,7.2,1.9,i2509.DF,764.0,20250818
57,709981,FG509P940.ZF,8,SELL,9064.0,12.38,3.0,FG509P940.ZF,3.0,20250813
58,709981,SR509C6200.ZF,6,SELL,12720.0,8.58,6.0,SR509C6200.ZF,6.0,20250813
59,709981,m2509-C-3150.DF,2,SELL,2300.1,18.5,12.0,m2509.DF,2976.0,20250818
60,709981,ps2509-C-49000.GF,21,SELL,0.0,183.43,155.0,ps2509.GF,41000.0,20250807
61,709981,PK510C8800.ZF,3,SELL,5478.9,31.17,24.0,PK510C8800.ZF,24.0,20250911
62,709981,lg2509-P-750.DF,3,SELL,14323.5,7.25,5.25,lg2509.DF,786.0,20250818
63,709981,lh2509-P-13200.DF,1,SELL,9742.4,35.0,15.0,lh2509.DF,14345.0,20250818
64,709981,TA509P4400.ZF,2,SELL,2322.4,41.0,17.0,TA509P4400.ZF,17.0,20250813
65,709981,pb2508P16400.SF,1,SELL,6670.0,34.0,20.0,pb2508.SF,17075.0,20250725
66,709981,TA509C5500.ZF,2,SELL,1961.2,13.5,6.5,TA509C5500.ZF,6.5,20250813
67,709981,ag2508P8200.SF,1,SELL,13946.4,22.0,12.0,ag2508.SF,9016.0,20250725
68,709981,i2509-P-700.DF,6,SELL,36783.0,4.65,2.7,i2509.DF,764.0,20250818
69,709981,ps2509-P-35500.GF,24,SELL,0.0,378.29,287.0,ps2509.GF,41000.0,20250807
70,709981,sn2508P245000.SF,1,SELL,22274.0,620.0,474.0,sn2508.SF,263940.0,20250725
71,709981,TA509P4550.ZF,2,SELL,3322.4,46.25,43.0,TA509P4550.ZF,43.0,20250813
72,709981,ps2509-P-36000.GF,8,SELL,0.0,453.75,362.0,ps2509.GF,41000.0,20250807
73,709981,CJ509P8900.ZF,1,SELL,2950.25,48.0,21.0,CJ509P8900.ZF,21.0,20250729
74,709981,UR509P1660.ZF,1,SELL,1883.2,33.0,9.0,UR509P1660.ZF,9.0,20250813
75,709981,lc2509-P-58000.GF,2,SELL,6866.0,470.0,140.0,lc2509.GF,64280.0,20250807
76,709981,v2509-P-4750.DF,10,SELL,13042.5,27.5,20.0,v2509.DF,4980.0,20250818
77,709981,m2509-P-2800.DF,1,SELL,0.0,10.5,6.0,m2509.DF,2976.0,20250818
78,709981,MA509P2325.ZF,6,SELL,11006.4,21.83,26.0,MA509P2325.ZF,26.0,20250813
79,709981,jd2508-C-3600.DF,5,SELL,8539.5,24.0,3.5,jd2508.DF,3442.0,20250716
80,709981,SH509P2360.ZF,2,SELL,9576.0,27.5,25.0,SH509P2360.ZF,25.0,20250813
81,709981,TA509P4500.ZF,9,SELL,13330.8,43.17,32.0,TA509P4500.ZF,32.0,20250813
82,709981,TA509C5400.ZF,3,SELL,2971.8,17.67,8.0,TA509C5400.ZF,8.0,20250813
83,709981,SH509P2240.ZF,7,SELL,23163.0,23.29,10.5,SH509P2240.ZF,10.5,20250813
84,709981,UR509C1800.ZF,2,SELL,6666.4,35.0,36.0,UR509C1800.ZF,36.0,20250813
85,709981,CJ509P9100.ZF,1,SELL,3570.25,70.0,40.0,CJ509P9100.ZF,40.0,20250729
86,709981,SF509P5000.ZF,4,SELL,4585.6,20.5,8.0,SF509P5000.ZF,8.0,20250813
87,709981,jd2508-C-3550.DF,8,SELL,4065.8,26.94,7.5,jd2508.DF,3442.0,20250716
88,709981,lg2509-P-775.DF,1,SELL,6687.0,11.75,12.75,lg2509.DF,786.0,20250818
89,709981,MA509P2200.ZF,8,SELL,8337.6,16.62,6.0,MA509P2200.ZF,6.0,20250813
90,709981,m2601-P-2800.DF,4,SELL,5806.4,31.75,25.5,m2601.DF,3015.0,20251216
91,709981,RM509P2500.ZF,3,SELL,7005.0,26.83,15.5,RM509P2500.ZF,15.5,20250813
92,709981,CF509P12800.ZF,4,SELL,10705.5,20.5,10.0,CF509P12800.ZF,10.0,20250813
93,709981,TA509P4600.ZF,1,SELL,1861.2,86.5,58.0,TA509P4600.ZF,58.0,20250813
94,709981,CJ509P9000.ZF,8,SELL,26002.0,64.25,32.0,CJ509P9000.ZF,32.0,20250729
95,709981,RM509P2450.ZF,1,SELL,1995.0,39.0,8.5,RM509P2450.ZF,8.5,20250813
96,709981,MA509P2350.ZF,12,SELL,24832.8,33.92,37.0,MA509P2350.ZF,37.0,20250813
97,709981,ao2509P2800.SF,18,SELL,69921.0,39.67,18.5,ao2509.SF,3117.0,20250825
98,709981,ps2509-P-38000.GF,2,SELL,21342.6,707.0,722.0,ps2509.GF,41000.0,20250807
99,709981,m2601-P-2900.DF,2,SELL,4503.2,47.5,49.5,m2601.DF,3015.0,20251216
100,709981,ag2508P8100.SF,4,SELL,52335.6,33.5,7.5,ag2508.SF,9016.0,20250725
101,709981,UR509P1640.ZF,1,SELL,1633.2,26.5,6.0,UR509P1640.ZF,6.0,20250813
102,709981,i2509-P-670.DF,1,SELL,4340.5,5.6,1.1,i2509.DF,764.0,20250818
103,709981,ps2509-C-48000.GF,11,SELL,0.0,248.09,202.0,ps2509.GF,41000.0,20250807
104,709981,ps2509-P-35000.GF,4,SELL,25446.6,232.5,242.0,ps2509.GF,41000.0,20250807
